BMI,BMI_Class
27.776706145596233,Overgewicht
21.383941996057334,Gezond gewicht
21.132713440405748,Gezond gewicht
23.66691015339664,Gezond gewicht
26.729927495071667,Overgewicht
26.448979591836736,Overgewicht
22.20408163265306,Gezond gewicht
25.761772853185597,Overgewicht
25.381468541909282,Overgewicht
22.59814049586777,Gezond gewicht
29.14214576731553,Overgewicht
23.53036634346221,Gezond gewicht
22.59143813091595,Gezond gewicht
20.9572742022715,Gezond gewicht
23.23563170124017,Gezond gewicht
20.00656932126967,Gezond gewicht
31.561671506122963,Obesitas
21.49959688255845,Gezond gewicht
22.22222222222222,Gezond gewicht
22.481329065691202,Gezond gewicht
23.291229956104985,Gezond gewicht
19.721036967980208,Gezond gewicht
22.375679950619187,Gezond gewicht
23.889462809917354,Gezond gewicht
25.24933720489837,Overgewicht
24.092970521541954,Gezond gewicht
26.448979591836736,Overgewicht
23.888440980620498,Gezond gewicht
23.828124999999996,Gezond gewicht
25.762980578676178,Overgewicht
19.333729922665082,Gezond gewicht
26.54320987654321,Overgewicht
26.038781163434905,Overgewicht
22.724403484408533,Gezond gewicht
26.19618735008206,Overgewicht
30.824829931972793,Obesitas
19.159827275586945,Gezond gewicht
32.098765432098766,Obesitas
32.00731595793324,Obesitas
22.321428571428577,Gezond gewicht
25.351541373715524,Overgewicht
27.68166089965398,Overgewicht
20.775623268698062,Gezond gewicht
31.572071418202935,Obesitas
24.691358024691358,Gezond gewicht
21.719250114311837,Gezond gewicht
23.18339100346021,Gezond gewicht
23.456790123456788,Gezond gewicht
29.93827160493827,Overgewicht
24.543462381300216,Gezond gewicht
25.381468541909282,Overgewicht
24.302487059714682,Gezond gewicht
24.691358024691358,Gezond gewicht
24.212293388429753,Gezond gewicht
25.127830533235937,Overgewicht
19.32133800265668,Gezond gewicht
24.508945765204302,Gezond gewicht
2.3629489603024574,Ondergewicht
22.34029706557179,Gezond gewicht
20.147971991015986,Gezond gewicht
27.458654210326976,Overgewicht
23.76543209876543,Gezond gewicht
21.705129432793896,Gezond gewicht
20.808561236623067,Gezond gewicht
20.61925365062196,Gezond gewicht
20.98765432098765,Gezond gewicht
28.293345405160707,Overgewicht
28.73174689021093,Overgewicht
27.12673611111111,Overgewicht
25.77250395983785,Overgewicht
22.096807907073963,Gezond gewicht
27.17063156623596,Overgewicht
21.7335354170837,Gezond gewicht
20.598608033457133,Gezond gewicht
23.046874999999996,Gezond gewicht
27.332361516034986,Overgewicht
23.06805074971165,Gezond gewicht
27.16161158895428,Overgewicht
22.460034350640772,Gezond gewicht
20.515086478979924,Gezond gewicht
24.337479718766904,Gezond gewicht
24.67037636029714,Gezond gewicht
27.143037495265748,Overgewicht
21.258503401360546,Gezond gewicht
21.545090797168363,Gezond gewicht
23.04002019946976,Gezond gewicht
19.13265306122449,Gezond gewicht
22.49963710262738,Gezond gewicht
21.0372534696859,Gezond gewicht
20.66115702479339,Gezond gewicht
27.160493827160494,Overgewicht
25.762980578676178,Overgewicht
23.719609250647608,Gezond gewicht
18.826793499801823,Ondergewicht
23.384353741496604,Gezond gewicht
24.95659722222222,Gezond gewicht
18.726007303142847,Ondergewicht
26.25072494734593,Overgewicht
19.817677368212443,Gezond gewicht
20.43816558499767,Gezond gewicht
24.915315920606925,Gezond gewicht
24.031709372366656,Gezond gewicht
0,Data ontbreekt
25.48476454293629,Overgewicht
22.408786769347305,Gezond gewicht
23.515579071134628,Gezond gewicht
25.816630212628635,Overgewicht
22.460034350640772,Gezond gewicht
26.555965935105768,Overgewicht
23.030045351473927,Gezond gewicht
24.278428819444446,Gezond gewicht
21.35779559539232,Gezond gewicht
20.830817534114235,Gezond gewicht
23.306680053067517,Gezond gewicht
23.66691015339664,Gezond gewicht
25.510204081632658,Overgewicht
22.694018931589476,Gezond gewicht
22.694018931589476,Gezond gewicht
26.027582477014604,Overgewicht
21.71745152354571,Gezond gewicht
22.857142857142858,Gezond gewicht
23.661438615467823,Gezond gewicht
24.187046492878256,Gezond gewicht
21.604938271604937,Gezond gewicht
19.2671714440238,Gezond gewicht
23.991212856977683,Gezond gewicht
22.12973972783723,Gezond gewicht
21.453287197231838,Gezond gewicht
23.14660378052118,Gezond gewicht
27.994736989445986,Overgewicht
18.376825152861773,Ondergewicht
20.37037037037037,Gezond gewicht
22.38650562265723,Gezond gewicht
22.22222222222222,Gezond gewicht
20.904195011337873,Gezond gewicht
22.02915769411649,Gezond gewicht
23.59700420642249,Gezond gewicht
22.75,Gezond gewicht
29.012345679012345,Overgewicht
22.497959183673473,Gezond gewicht
26.234567901234566,Overgewicht
20.38389672158995,Gezond gewicht
21.60410477990818,Gezond gewicht
25.826446280991735,Overgewicht
26.54320987654321,Overgewicht
25.95155709342561,Overgewicht
20.71610537219003,Gezond gewicht
26.7538644470868,Overgewicht
21.612811791383223,Gezond gewicht
22.4058769513315,Gezond gewicht
19.95728440880922,Gezond gewicht
22.589551436050055,Gezond gewicht
22.093170054286073,Gezond gewicht
23.124670372023203,Gezond gewicht
22.714681440443215,Gezond gewicht
24.898143956541425,Gezond gewicht
23.620287912158062,Gezond gewicht
21.007667798746546,Gezond gewicht
23.889462809917354,Gezond gewicht
24.913494809688583,Gezond gewicht
20.761245674740486,Gezond gewicht
24.994202375737586,Gezond gewicht
22.944088878154812,Gezond gewicht
26.149276859504134,Overgewicht
23.48347668628339,Gezond gewicht
17.509962564907617,Ondergewicht
39.046230737192836,Obesitas
24.355421180818006,Gezond gewicht
22.786458333333336,Gezond gewicht
27.44059917355372,Overgewicht
29.745808545159548,Overgewicht
0,Data ontbreekt
28.40818411056848,Overgewicht
26.122448979591837,Overgewicht
20.902385858042937,Gezond gewicht
26.575890590940304,Overgewicht
26.014568158168572,Overgewicht
32.19394753786288,Obesitas
27.99036281179139,Overgewicht
21.971335857220122,Gezond gewicht
26.92743764172336,Overgewicht
25.963047941069917,Overgewicht
27.777777777777775,Overgewicht
23.243801652892564,Gezond gewicht
21.32943754565376,Gezond gewicht
23.485962207321883,Gezond gewicht
24.187046492878256,Gezond gewicht
20.887586805555557,Gezond gewicht
0,Data ontbreekt
20.19557823129252,Gezond gewicht
18.75647378292881,Ondergewicht
0,Data ontbreekt
23.99945916711736,Gezond gewicht
20.281233098972418,Gezond gewicht
20.70081674131507,Gezond gewicht
27.458654210326976,Overgewicht
25.826446280991735,Overgewicht
26.989619377162633,Overgewicht
26.874496103198062,Overgewicht
22.758306781975424,Gezond gewicht
26.218820861678008,Overgewicht
18.986590720303784,Ondergewicht
0,Data ontbreekt
25.5649539199596,Overgewicht
19.918367346938776,Gezond gewicht
24.69653925619835,Gezond gewicht
23.76543209876543,Gezond gewicht
26.85185185185185,Overgewicht
23.14266929651545,Gezond gewicht
23.54788069073783,Gezond gewicht
27.166919271354622,Overgewicht
24.858365128916635,Gezond gewicht
23.051754907792983,Gezond gewicht
23.120623596247853,Gezond gewicht
21.461936624163616,Gezond gewicht
20.5456936226167,Gezond gewicht
25.351541373715524,Overgewicht
20.902385858042937,Gezond gewicht
27.636054421768712,Overgewicht
22.985397512168742,Gezond gewicht
25.88057063502083,Overgewicht
20.06920415224914,Gezond gewicht
26.562499999999996,Overgewicht
31.01370510396975,Obesitas
22.720438370810918,Gezond gewicht
20.478266613819528,Gezond gewicht
23.589835468362743,Gezond gewicht
27.660095935016283,Overgewicht
22.839506172839506,Gezond gewicht
23.057725694444446,Gezond gewicht
25.127830533235937,Overgewicht
22.40817898532965,Gezond gewicht
22.386314277122523,Gezond gewicht
23.384353741496604,Gezond gewicht
22.40817898532965,Gezond gewicht
25.30864197530864,Overgewicht
24.072542533081283,Gezond gewicht
23.37472607742878,Gezond gewicht
24.48565200513601,Gezond gewicht
18.78829922534397,Ondergewicht
21.007667798746546,Gezond gewicht
22.877405702193368,Gezond gewicht
27.411529289219047,Overgewicht
24.38237297859371,Gezond gewicht
22.877405702193368,Gezond gewicht
22.03840115928028,Gezond gewicht
23.449340844748203,Gezond gewicht
22.656249999999996,Gezond gewicht
20.58966513197403,Gezond gewicht
21.588183310188107,Gezond gewicht
24.898143956541425,Gezond gewicht
23.711844630960897,Gezond gewicht
21.773842357381334,Gezond gewicht
24.742373227221712,Gezond gewicht
25.770512286547273,Overgewicht
22.024322512687924,Gezond gewicht
19.805341783612494,Gezond gewicht
29.218407596785973,Overgewicht
32.882414151925076,Obesitas
24.8109640831758,Gezond gewicht
20.904195011337873,Gezond gewicht
0,Data ontbreekt
21.132713440405748,Gezond gewicht
18.72417355371901,Ondergewicht
29.053287981859416,Overgewicht
24.691358024691358,Gezond gewicht
27.471707127713575,Overgewicht
22.058051188683873,Gezond gewicht
23.423557406305775,Gezond gewicht
24.691358024691358,Gezond gewicht
24.968009737523797,Gezond gewicht
25.770399305555557,Overgewicht
28.72737719046251,Overgewicht
24.67037636029714,Gezond gewicht
23.629489603024574,Gezond gewicht
22.675152670772242,Gezond gewicht
27.160493827160494,Overgewicht
21.62964876033058,Gezond gewicht
22.89307408198773,Gezond gewicht
29.218407596785973,Overgewicht
29.72651605231867,Overgewicht
26.729927495071667,Overgewicht
19.48696145124717,Gezond gewicht
23.355636914530994,Gezond gewicht
25.661152034778407,Overgewicht
22.857142857142858,Gezond gewicht
23.620287912158062,Gezond gewicht
21.829952199932254,Gezond gewicht
21.551020408163264,Gezond gewicht
21.30394857667585,Gezond gewicht
24.968009737523797,Gezond gewicht
0,Data ontbreekt
25.280109859242845,Overgewicht
23.529411764705884,Gezond gewicht
32.60475787948315,Obesitas
20.957171162932475,Gezond gewicht
22.093170054286073,Gezond gewicht
22.59814049586777,Gezond gewicht
22.84664830119376,Gezond gewicht
21.9671201814059,Gezond gewicht
27.513384889946465,Overgewicht
22.014013799028163,Gezond gewicht
25.761772853185597,Overgewicht
21.258503401360546,Gezond gewicht
19.13265306122449,Gezond gewicht
25.393431120318084,Overgewicht
24.212293388429753,Gezond gewicht
28.841531805800347,Overgewicht
24.074074074074073,Gezond gewicht
22.582709172343712,Gezond gewicht
21.952479338842977,Gezond gewicht
22.589531680440775,Gezond gewicht
29.085872576177287,Overgewicht
26.030820491461892,Overgewicht
31.14186851211073,Obesitas
19.591836734693878,Gezond gewicht
24.4140625,Gezond gewicht
16.59804015448945,Ondergewicht
18.93700290367378,Ondergewicht
23.37472607742878,Gezond gewicht
30.234315948601665,Obesitas
0,Data ontbreekt
19.444444444444443,Gezond gewicht
26.528510346119035,Overgewicht
17.17532038578412,Ondergewicht
20.902385858042937,Gezond gewicht
21.736505252988767,Gezond gewicht
23.08254200146092,Gezond gewicht
26.061679307694877,Overgewicht
26.672763298277697,Overgewicht
23.450918219051392,Gezond gewicht
